"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.J9HI13","J9HI13_AEDAE","AAEL017560-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q0IE98","AAEL012979","AAEL012979-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q0IE99","AAEL012977","AAEL012977-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q0IFC5","AAEL005895","AAEL005895-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q0IG29","AAEL003527","AAEL003527-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q0IG52","AAEL003517","Ubiquitin carboxyl-terminal hydrolase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q0IGG1","AAEL000405","Odd Oz protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16FB0","AAEL014839","Sidestep protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16FK4","AAEL014730","AAEL014730-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16FX6","AAEL014602","AAEL014602-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16G52","AAEL014519","AAEL014519-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16GL8","AAEL014337","Mitotic protein phosphatase 1 regulator, putative.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16HF3","AAEL014042","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B; Belongs to the phosphatase 2A regulatory subunit B family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16HK0","AAEL013997","AAEL013997-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16HN0","AAEL013969","Syndecan; Cell surface proteoglycan; Belongs to the syndecan proteoglycan family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16HX2","AAEL013873","AAEL013873-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16I15","AAEL013830","Bmp-induced factor.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16I87","AAEL013757","AAEL013757-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16I88","AAEL013758","AAEL013758-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16IN4","AAEL013602","AAEL013602-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16JH6","AAEL013331","AAEL013331-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16JK2","AAEL013308","Odd Oz protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16L96","AAEL012723","AAEL012723-PA; Belongs to the protein kinase superfamily.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16LK0","AAEL012627","AAEL012627-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16LU2","AAEL012517","AAEL012517-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16LX7","AAEL012493","AAEL012493-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16M52","AAEL012421","AAEL012421-PA; Cadherins are calcium-dependent cell adhesion proteins.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16M53","AAEL012420","AAEL012420-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16M54","AAEL012416","AAEL012416-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16ML6","AAEL012262","Putative neural cell adhesion molecule l1.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16N85","AAEL012057","Enhancer of polycomb-like protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16PL9","AAEL011604","AAEL011604-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16PP6","AAEL011565","AAEL011565-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16Q60","AAEL011396","Neurogenic locus delta protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16R23","AAEL011105","AAEL011105-PB.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16R38","AAEL011083","AAEL011083-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16R65","AAEL011058","Lim domain binding protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16RU6","AAEL010835","Mitogen-activated protein kinase kinase kinase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16SB0","AAEL010643","AAEL010643-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16ST2","AAEL010502","AAEL010502-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16UC4","AAEL009947","Homeotic antennapedia protein, putative.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16UZ9","AAEL009739","AAEL009739-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16W03","AAEL009377","AAEL009377-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16WF1","AAEL009240","AAEL009240-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16WI5","AAEL009212","AAEL009212-PC.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16WM1","AAEL009175","AAEL009175-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16WM8","AAEL009173","AAEL009173-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16WX3","AAEL009057","AAEL009057-PA; Belongs to the cyclin family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16XT3","AAEL008773","AAEL008773-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16XW4","AAEL008739","AAEL008739-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16Y82","AAEL008622","AAEL008622-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16Y83","AAEL008634","Mitogen-activated protein kinase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16YG3","AAEL008554","AAEL008554-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16YG8","AAEL008528","AAEL008528-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16YZ8","AAEL008362","AAEL008362-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q16YZ9","AAEL008372","Sulfatase-1, sulf-1.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q170K4","AAEL007888","Protein 4.1 homolog (Coracle protein), putative.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","GO:0048699","Generation of neurons",118,887,0.45,1.38,4.01e-19,"7159.Q170K8","AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
