tr|Q16KJ5|Q16KJ5_AEDAE	6dfafe916579b3af2786e11ddc96cc92	600	Pfam	PF00535	Glycosyl transferase family 2	149	338	2.8E-29	T	17-10-2025	IPR001173	Glycosyltransferase 2-like	-	-
tr|Q16KJ5|Q16KJ5_AEDAE	6dfafe916579b3af2786e11ddc96cc92	600	Pfam	PF00652	Ricin-type beta-trefoil lectin domain	471	596	9.1E-17	T	17-10-2025	IPR000772	Ricin B, lectin domain	-	-
tr|Q16PQ3|Q16PQ3_AEDAE	2243d882aaa84846b94e93fad41d0734	147	Pfam	PF01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	36	120	2.3E-12	T	17-10-2025	IPR004038	Ribosomal protein eL8/eL30/eS12/Gadd45	-	-
tr|Q17E15|Q17E15_AEDAE	567f7f4af1d7e2cbc1998c98d9256c36	285	Pfam	PF00076	RNA recognition motif	202	272	3.2E-14	T	17-10-2025	IPR000504	RNA recognition motif domain	-	-
tr|Q17K45|Q17K45_AEDAE	32d6632897eb25ec73d355d187058883	321	Pfam	PF08418	DNA polymerase alpha subunit B N-terminal	6	72	6.2E-14	T	17-10-2025	IPR013627	DNA polymerase alpha, subunit B, N-terminal	-	-
tr|Q16UG8|Q16UG8_AEDAE	558a477821933c7e0c3191eb90139971	513	Pfam	PF04042	DNA polymerase alpha/epsilon subunit B	265	461	8.1E-31	T	17-10-2025	IPR007185	DNA polymerase alpha/delta/epsilon, subunit B	-	-
tr|Q16UG8|Q16UG8_AEDAE	558a477821933c7e0c3191eb90139971	513	Pfam	PF22062	DNA polymerase alpha subunit B, OB domain	167	243	3.6E-5	T	17-10-2025	IPR054300	DNA polymerase alpha subunit B, OB domain	-	-
tr|Q16KZ4|Q16KZ4_AEDAE	e3cff8ccf6abda3e2665e133fb52f35e	600	Pfam	PF00535	Glycosyl transferase family 2	149	338	2.8E-29	T	17-10-2025	IPR001173	Glycosyltransferase 2-like	-	-
tr|Q16KZ4|Q16KZ4_AEDAE	e3cff8ccf6abda3e2665e133fb52f35e	600	Pfam	PF00652	Ricin-type beta-trefoil lectin domain	471	596	9.1E-17	T	17-10-2025	IPR000772	Ricin B, lectin domain	-	-
tr|Q17FE8|Q17FE8_AEDAE	b08c3286a942e51d464e94c419208af2	142	Pfam	PF00076	RNA recognition motif	36	96	2.1E-13	T	17-10-2025	IPR000504	RNA recognition motif domain	-	-
tr|Q16HG5|Q16HG5_AEDAE	10dd6b7646cbb8887be417d25cab5bed	351	Pfam	PF00076	RNA recognition motif	268	338	4.6E-14	T	17-10-2025	IPR000504	RNA recognition motif domain	-	-
tr|Q16HG5|Q16HG5_AEDAE	10dd6b7646cbb8887be417d25cab5bed	351	Pfam	PF00076	RNA recognition motif	3	65	1.4E-13	T	17-10-2025	IPR000504	RNA recognition motif domain	-	-
tr|J9HZV2|J9HZV2_AEDAE	35f5915e154e9409702b02701856dae6	231	Pfam	PF00076	RNA recognition motif	136	202	6.8E-14	T	17-10-2025	IPR000504	RNA recognition motif domain	-	-
tr|Q17DB8|Q17DB8_AEDAE	b1627039378ed8566ff91f67ee610c4c	157	Pfam	PF21890	Lin-28A-like, second zinc knuckle	109	139	0.0039	T	17-10-2025	IPR054081	Lin-28A-like, second zinc knuckle	-	-
tr|Q17DB8|Q17DB8_AEDAE	b1627039378ed8566ff91f67ee610c4c	157	Pfam	PF00313	'Cold-shock' DNA-binding domain	2	65	2.9E-20	T	17-10-2025	IPR002059	Cold-shock protein Csp, DNA-binding	-	-
tr|Q16UG6|Q16UG6_AEDAE	639e94d274d0e45d70f84324e6dc9cb4	181	Pfam	PF08418	DNA polymerase alpha subunit B N-terminal	6	74	9.1E-18	T	17-10-2025	IPR013627	DNA polymerase alpha, subunit B, N-terminal	-	-
