URL,fasta_header,uniprot_id,kegg_id,identity
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ17C94%7CQ17C94%5FAEDAE,tr|Q17C94|Q17C94_AEDAE,Q17C94,aag:5565160,94
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ177H4%7CQ177H4%5FAEDAE,tr|Q177H4|Q177H4_AEDAE,Q177H4,aag:110680225,94
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ17KU1%7CQ17KU1%5FAEDAE,tr|Q17KU1|Q17KU1_AEDAE,Q17KU1,aag:5571277,93
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ16Z01%7CQ16Z01%5FAEDAE,tr|Q16Z01|Q16Z01_AEDAE,Q16Z01,aag:5570549,98
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ16EP6%7CQ16EP6%5FAEDAE,tr|Q16EP6|Q16EP6_AEDAE,Q16EP6,aag:5574457,98
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ17HS6%7CQ17HS6%5FAEDAE,tr|Q17HS6|Q17HS6_AEDAE,Q17HS6,aga:1272970,98
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ17F08%7CQ17F08%5FAEDAE,tr|Q17F08|Q17F08_AEDAE,Q17F08,aag:5565116,99
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ17AG5%7CQ17AG5%5FAEDAE,tr|Q17AG5|Q17AG5_AEDAE,Q17AG5,aag:5575690,95
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ17MX6%7CQ17MX6%5FAEDAE,tr|Q17MX6|Q17MX6_AEDAE,Q17MX6,aag:5567198,94
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=fd7ba5d4583a394230d661f941b876f22bbbdf36&passwd=G47cRt&type=blastkoala&code=user&target=tr%7CQ16P38%7CQ16P38%5FAEDAE,tr|Q16P38|Q16P38_AEDAE,Q16P38,aag:5567839,100
