URL,fasta_header,uniprot_id,kegg_id,identity
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D616C3,UPI0007D616C3,UPI0007D616C3,,
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D10D52,UPI0007D10D52,UPI0007D10D52,aag:5568365,98.0
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D2F7FD,UPI0007D2F7FD,UPI0007D2F7FD,,
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D1D4B3,UPI0007D1D4B3,UPI0007D1D4B3,,
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D1A9BA,UPI0007D1A9BA,UPI0007D1A9BA,,
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D56CC0,UPI0007D56CC0,UPI0007D56CC0,,
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D4D981,UPI0007D4D981,UPI0007D4D981,aag:110677739,84.0
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D19700,UPI0007D19700,UPI0007D19700,aag:5566778,89.0
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D57C79,UPI0007D57C79,UPI0007D57C79,,
https://www.kegg.jp/tool-bin/blastkoala_result_gene_list?id=15f4d11b20b6a6a8c0bf9ca63a1c645f1cfa223e&passwd=9zX64O&type=blastkoala&code=user&target=UPI0007D3F72B,UPI0007D3F72B,UPI0007D3F72B,aag:5566444,90.0
