"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF012257-RA","Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182GM17]","A0A023EIK3,A0A023EJR0,A0A182GM17,G8GIC7","aal-miR-1-3p",-18.35,515,536,167
"AALF000569-RA","cytochrome P450 [Source:Projected from Aedes aegypti lvpagwg (AAEL009120) VB Community Annotation]","A0A182G1B2","aal-miR-1-3p",-23.96,252,272,166
"AALF018941-RA","cytochrome P450 [Source:Projected from Aedes aegypti (AAEL009120) VB Community Annotation]","A0A182GZW6","aal-miR-1-3p",-23.96,252,272,166
"AALF002438-RA","disulfide oxidoreductase [Source:Projected from Aedes aegypti (AAEL011158) VB Community Annotation]","A0A023EWI7,A0A182G3Z5","aal-miR-1-3p",-21.35,228,250,163
"AALF017498-RA","sorting nexin [Source:Projected from Aedes aegypti (AAEL008020) VB Community Annotation]","A0A182GXA4","aal-miR-1-3p",-17.21,196,217,163
"AALF011446-RA","caspase (short) [Source:Projected from Aedes aegypti lvpagwg (AAEL014348) VB Community Annotation]","A0A023EL21,A0A182GKE2","aal-miR-1-3p",-20.01,113,133,162
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aal-miR-1-3p",-16.86,8647,8667,161
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-1-3p",-22.37,11832,11855,157
"AALF004443-RA","mitogen activated protein kinase kinase kinase 4, mapkkk4, mekk4 [Source:Projected from Aedes aegypti (AAEL010466) VB Community Annotation]","A0A182G773","aal-miR-1-3p",-17.14,215,235,157
"AALF013877-RA","hairy protein [Source:Projected from Aedes aegypti (AAEL005480) VB Community Annotation]","A0A023EQ79,A0A182GQD4","aal-miR-1-3p",-17.02,2062,2086,157
"AALF003851-RA","dihydropteridine reductase [Source:Projected from Aedes aegypti (AAEL006836) VB Community Annotation]","A0A023EHN5,A0A023EI83,A0A182G685","aal-miR-1-3p",-17.88,25,50,156
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aal-miR-1-3p",-18.59,4011,4036,155
"AALF001034-RA","Transcription elongation factor SPT5 [Source:UniProtKB/TrEMBL;Acc:A0A182G1W4]","A0A182G1W4","aal-miR-1-3p",-16.27,6323,6345,155
"AALF011047-RA","DNA topoisomerase [Source:UniProtKB/TrEMBL;Acc:A0A182GJK0]","A0A182GJK0","aal-miR-1-3p",-15.84,65,86,155
"AALF008414-RA","Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A182GE93]","A0A182GE93","aal-miR-1-3p",-15.06,1648,1669,155
"AALF007520-RA","srpk [Source:Projected from Aedes aegypti lvpagwg (AAEL008507) VB Community Annotation]","A0A182GCI0","aal-miR-1-3p",-15.44,3106,3128,154
"AALF025948-RA","Glucosamine-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182HBI6]","A0A023EP88,A0A182HBI6","aal-miR-1-3p",-14.76,7429,7455,154
"AALF006712-RA","Sulfhydryl oxidase [Source:UniProtKB/TrEMBL;Acc:A0A182GB20]","A0A023EU40,A0A023EVD5,A0A182GB20","aal-miR-1-3p",-18.51,312,331,153
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-1-3p",-17.93,22311,22334,152
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-1-3p",-17.71,2152,2173,152
"AALF027634-RA","dual specificity mitogen-activated protein kinase kinase hemipterous MAPKK [Source:Projected from Aedes aegypti (AAEL003359) VB Community Annotation]","A0A182HE32","aal-miR-1-3p",-16.26,863,884,152
"AALF027539-RA","protein phosphatase 2c [Source:Projected from Aedes aegypti (AAEL011567) VB Community Annotation]","A0A182HDY2,A0A1W7R6Z1","aal-miR-1-3p",-16.11,682,703,152
"AALF008576-RA","lipoma preferred partner/lpp [Source:Projected from Aedes aegypti (AAEL007704) VB Community Annotation]","A0A182GEL0","aal-miR-1-3p",-15.53,325,344,152
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-1-3p",-15.39,11355,11376,152
"AALF015467-RA","Polypeptide N-acetylgalactosaminyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182GTH0]","A0A023EUU3,A0A182GTH0","aal-miR-1-3p",-15.14,847,868,152
"AALF004592-RA","lateral signalling target protein [Source:Projected from Aedes aegypti (AAEL005241) VB Community Annotation]","A0A182G7E9","aal-miR-1-3p",-14.96,1043,1064,152
"AALF016099-RA","Spastin [Source:UniProtKB/TrEMBL;Acc:A0A182GUQ1]","A0A182GUQ1","aal-miR-1-3p",-21.59,1694,1715,151
"AALF019709-RA","endo beta n-acetylglucosaminidase [Source:Projected from Aedes aegypti (AAEL010527) VB Community Annotation]","A0A182H197","aal-miR-1-3p",-20.87,485,508,151
"AALF018603-RA","Gelsolin precursor [Source:Projected from Aedes aegypti (AAEL006095) VB Community Annotation]","A0A023EJG5,A0A023ENU7,A0A023ER59,A0A023ER95,A0A023ESF2,A0A023ET19,A0A023EX75,A0A182GZC7","aal-miR-1-3p",-17.7,330,352,151
"AALF014553-RA","hemomucin [Source:Projected from Aedes aegypti (AAEL006196) VB Community Annotation]","A0A023EV07,A0A023EVJ8,A0A182GRP8","aal-miR-1-3p",-14.04,224,245,151
"AALF007686-RA","synaptojanin [Source:Projected from Aedes aegypti (AAEL011417) VB Community Annotation]","A0A182GCS9","aal-miR-1-3p",-16.95,1387,1408,150
"AALF008461-RA","selenium-binding protein [Source:Projected from Aedes aegypti (AAEL001937) VB Community Annotation]","A0A182GED0","aal-miR-1-3p",-15.48,32,54,150
"AALF005594-RA","meiotic recombination repair protein 11 (mre11) [Source:Projected from Aedes aegypti (AAEL010595) VB Community Annotation]","A0A182G980","aal-miR-1-3p",-15.1,15,41,150
"AALF020475-RA","clathrin coat assembly protein [Source:Projected from Aedes aegypti (AAEL001405) VB Community Annotation]","A0A023EJ74,A0A182H2N2","aal-miR-1-3p",-21.06,42,63,149
"AALF004127-RA","phosphatase and actin regulator [Source:Projected from Aedes aegypti (AAEL014792) VB Community Annotation]","A0A182G6N4","aal-miR-1-3p",-20.08,267,288,149
"AALF010555-RA","helicase [Source:Projected from Aedes aegypti (AAEL009067) VB Community Annotation]","A0A182GIM3","aal-miR-1-3p",-16.96,814,839,149
