"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-33-5p",-17.34,34615,34635,166
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-33-5p",-16.85,21168,21187,164
"AALF006876-RA","39S ribosomal protein L11, mitochondrial [Source:Projected from Aedes aegypti (AAEL005162) VB Community Annotation]","A0A023EI69,A0A182GUQ2","aal-miR-33-5p",-16.32,61,81,164
"AALF026319-RA","tropomyosin invertebrate [Source:Projected from Aedes aegypti lvpagwg (AAEL002759) VB Community Annotation]","A0A023ETF0,A0A182HC29","aal-miR-33-5p",-21.16,123,143,163
"AALF008473-RA","chordin [Source:Projected from Aedes aegypti (AAEL005627) VB Community Annotation]","A0A182GEE1","aal-miR-33-5p",-14.86,459,479,163
"AALF027349-RA","short-chain dehydrogenase [Source:Projected from Aedes aegypti (AAEL003959) VB Community Annotation]","A0A182HDN9","aal-miR-33-5p",-14.1,578,598,163
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-33-5p",-20.39,6666,6686,162
"AALF004127-RA","phosphatase and actin regulator [Source:Projected from Aedes aegypti (AAEL014792) VB Community Annotation]","A0A182G6N4","aal-miR-33-5p",-18.26,1,14,162
"AALF007727-RA","adaptin, alpha/gamma/epsilon [Source:Projected from Aedes aegypti (AAEL004469) VB Community Annotation]","A0A182GJ46","aal-miR-33-5p",-18.13,1814,1835,162
"AALF007520-RA","srpk [Source:Projected from Aedes aegypti lvpagwg (AAEL008507) VB Community Annotation]","A0A182GCI0","aal-miR-33-5p",-21.92,7221,7243,161
"AALF021110-RA","Nucleoside diphosphate kinase [Source:UniProtKB/TrEMBL;Acc:A0A023EHV4]","A0A023EHG0,A0A023EHV4","aal-miR-33-5p",-19.12,121,141,161
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-33-5p",-16.68,3924,3945,161
"AALF021441-RA","heat shock protein 70 (hsp70)-interacting protein [Source:Projected from Aedes aegypti (AAEL004148) VB Community Annotation]","A0A023EPX6,A0A182H4B7","aal-miR-33-5p",-16.21,425,444,161
"AALF017790-RA","cytochrome oxidase biogenesis protein (oxa1 mitochondrial) [Source:Projected from Aedes aegypti (AAEL006734) VB Community Annotation]","A0A023ESV1,A0A182GXU9","aal-miR-33-5p",-17.73,153,173,159
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aal-miR-33-5p",-15.24,25268,25288,159
"AALF023649-RA","sprouty [Source:Projected from Aedes aegypti (AAEL014510) VB Community Annotation]","A0A182H7W6","aal-miR-33-5p",-23.4,157,178,158
"AALF004523-RA","charged multivesicular body protein 4b [Source:Projected from Aedes aegypti (AAEL001698) VB Community Annotation]","A0A023EMD8","aal-miR-33-5p",-19.45,138,160,158
"AALF011160-RA","Putative histone h3 lys4 methyltransferase complex subunit [Source:UniProtKB/TrEMBL;Acc:A0A023EBK1]","A0A023EBK1","aal-miR-33-5p",-18.77,210,231,158
"AALF014949-RA","Putative na+/dicarboxylate na+/tricarboxylate and phosphate transporter [Source:UniProtKB/TrEMBL;Acc:A0A023EVA1]","A0A023EVA1","aal-miR-33-5p",-17.25,77,96,158
