"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-988-5p",-25.65,23554,23575,172
"AALF015279-RA","protein-tyrosine sulfotransferase [Source:Projected from Aedes aegypti (AAEL009868) VB Community Annotation]","A0A182GT42","aal-miR-988-5p",-18.68,102,123,170
"AALF013877-RA","hairy protein [Source:Projected from Aedes aegypti (AAEL005480) VB Community Annotation]","A0A023EQ79,A0A182GQD4","aal-miR-988-5p",-21.46,975,995,168
"AALF003402-RA","pom1 [Source:Projected from Aedes aegypti (AAEL013237) VB Community Annotation]","A0A182G5H4","aal-miR-988-5p",-18.97,14,35,164
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-988-5p",-15.81,9899,9920,164
"AALF008947-RA","heterogeneous nuclear ribonucleoprotein [Source:Projected from Aedes aegypti lvpagwg (AAEL010467) VB Community Annotation]","A0A023ET39,A0A182GFC6","aal-miR-988-5p",-20.54,5793,5814,163
"AALF021758-RA","splicing factor yt521-b [Source:Projected from Aedes aegypti (AAEL002272) VB Community Annotation]","A0A023ETE8,A0A182H4W0","aal-miR-988-5p",-15.54,350,371,163
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-988-5p",-21.26,31749,31772,162
"AALF005247-RA","Probable tRNA N6-adenosine threonylcarbamoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182G8M0]","A0A023ENN1,A0A182G8M0","aal-miR-988-5p",-15.1,77,97,162
"AALF007750-RA","peptidyl-prolyl cis-trans isomerase (cyclophilin) [Source:Projected from Aedes aegypti (AAEL006054) VB Community Annotation]","A0A182GCX7","aal-miR-988-5p",-16.06,1706,1725,161
"AALF017609-RA","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182GXI3]","A0A182GXI3","aal-miR-988-5p",-23.51,921,942,160
"AALF021374-RA","rhoGTPase [Source:Projected from Aedes aegypti (AAEL014636) VB Community Annotation]","A0A182H480","aal-miR-988-5p",-22.24,3304,3325,160
"AALF016161-RA","ancient conserved domain protein 2 (cyclin m2) [Source:Projected from Aedes aegypti (AAEL014059) VB Community Annotation]","A0A023EVD1,A0A182GUV4","aal-miR-988-5p",-14.2,370,390,159
"AALF011082-RA","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023EEY4]","A0A023EEY4","aal-miR-988-5p",-21.55,27,49,157
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-988-5p",-15.46,11548,11571,157
"AALF000617-RA","exonuclease nef-sp [Source:Projected from Aedes aegypti (AAEL006744) VB Community Annotation]","A0A023EVG1,A0A182G1E7","aal-miR-988-5p",-14.67,1644,1664,157
"AALF023558-RA","phosphoglucomutase [Source:Projected from Aedes aegypti (AAEL001480) VB Community Annotation]","A0A023EVI7,A0A182H7R3","aal-miR-988-5p",-20.73,255,276,156
"AALF027634-RA","dual specificity mitogen-activated protein kinase kinase hemipterous MAPKK [Source:Projected from Aedes aegypti (AAEL003359) VB Community Annotation]","A0A182HE32","aal-miR-988-5p",-17.88,2691,2712,156
"AALF004430-RA","Putative mitogen-activated protein kinase mapk kinase mkk7/jnkk2 [Source:UniProtKB/TrEMBL;Acc:A0A023ER47]","A0A023ER47","aal-miR-988-5p",-16.34,684,705,156
"AALF018316-RA","Putative high affinity copper transporter [Source:UniProtKB/TrEMBL;Acc:A0A023EIR3]","A0A023EIR3,A0A023EM19","aal-miR-988-5p",-15.1,4,27,156
"AALF020712-RA","amino acid transporter [Source:Projected from Aedes aegypti lvpagwg (AAEL007191) VB Community Annotation]","A0A182H343","aal-miR-988-5p",-17.81,194,214,155
"AALF010617-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL009921) VB Community Annotation]","A0A182GIR7","aal-miR-988-5p",-16.47,455,477,155
"AALF018981-RA","vesicular mannose-binding lectin [Source:Projected from Aedes aegypti (AAEL010584) VB Community Annotation]","A0A182GZZ9","aal-miR-988-5p",-18.64,173,194,154
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aal-miR-988-5p",-15.81,12531,12555,154
"AALF027460-RA","folate carrier protein [Source:Projected from Aedes aegypti (AAEL006879) VB Community Annotation]","A0A023EIT4,A0A023EN89,A0A182HDU3","aal-miR-988-5p",-15.22,3115,3139,154
"AALF003990-RA","mannosyltransferase [Source:Projected from Aedes aegypti (AAEL002701) VB Community Annotation]","A0A023EGV2,A0A023EJX9,A0A023EJY1,A0A023EJZ0,A0A182G6G4","aal-miR-988-5p",-14.94,20,41,154
"AALF022020-RA","chaperonin-60kD, ch60 [Source:Projected from Aedes aegypti (AAEL011584) VB Community Annotation]","A0A023EV59,A0A182H5B2","aal-miR-988-5p",-18.49,229,252,153
"AALF009959-RA","UDP-galactose transporter [Source:Projected from Aedes aegypti (AAEL008656) VB Community Annotation]","A0A023ENX2,A0A023EPY7,A0A182GHG0","aal-miR-988-5p",-15.08,38,57,153
"AALF013047-RA","neuralized [Source:Projected from Aedes aegypti (AAEL006062) VB Community Annotation]","A0A182GNN7","aal-miR-988-5p",-14.03,542,563,153
"AALF008539-RA","Putative chaperonin [Source:UniProtKB/TrEMBL;Acc:A0A023ETW5]","A0A023ETW5","aal-miR-988-5p",-15.82,113,132,152
