"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF028408-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL004444) VB Community Annotation]","A0A023EV71,A0A182HF79","aal-miR-1889-3p",-22.85,702,723,173
"AALF016191-RA","ATP-dependent RNA helicase [Source:Projected from Aedes aegypti (AAEL011534) VB Community Annotation]","A0A182GUX7","aal-miR-1889-3p",-21.83,521,542,167
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aal-miR-1889-3p",-17.87,5287,5308,166
"AALF009781-RA","troponin C [Source:Projected from Aedes aegypti (AAEL006572) VB Community Annotation]","A0A023ED55,A0A023EEV3,A0A023EF90,A0A023EFH0,A0A023ELU9,A0A182GH33,A0A1W7R6S5,A0A1W7R6T1","aal-miR-1889-3p",-17.98,148,169,164
"AALF017397-RA","WD-repeat protein [Source:Projected from Aedes aegypti (AAEL006552) VB Community Annotation]","A0A182GX40","aal-miR-1889-3p",-16.55,6612,6634,162
"AALF003410-RA","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023EJQ3]","A0A023EH84,A0A023EJQ3","aal-miR-1889-3p",-20.15,854,875,161
"AALF013105-RA","protein phosphatase type 2c [Source:Projected from Aedes aegypti (AAEL004709) VB Community Annotation]","A0A182GNS9","aal-miR-1889-3p",-16.54,355,377,161
"AALF001034-RA","Transcription elongation factor SPT5 [Source:UniProtKB/TrEMBL;Acc:A0A182G1W4]","A0A182G1W4","aal-miR-1889-3p",-20.42,4821,4842,160
"AALF001324-RA","T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A023EUT4]","A0A023ESU0,A0A023ETT8,A0A023EUT4,A0A023EUU8","aal-miR-1889-3p",-22.5,23,44,159
"AALF025015-RA","phosphorylase b kinase [Source:Projected from Aedes aegypti (AAEL007651) VB Community Annotation]","A0A023EYC1,A0A182H9Z8","aal-miR-1889-3p",-26.85,146,166,158
"AALF018421-RA","germ cell-less protein [Source:Projected from Aedes aegypti (AAEL000856) VB Community Annotation]","A0A182GZ11","aal-miR-1889-3p",-14.33,1481,1501,158
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-1889-3p",-19.25,17648,17671,156
"AALF011740-RA","venom allergen [Source:Projected from Aedes aegypti (AAEL000793) VB Community Annotation]","A0A182GL09,Q5MIT3","aal-miR-1889-3p",-14.3,23,44,156
"AALF018315-RA","mediator of RNA polymerase II transcription subunit [Source:Projected from Aedes aegypti (AAEL002284) VB Community Annotation]","A0A182GYT1","aal-miR-1889-3p",-14.21,10,32,156
"AALF002541-RA","WD-repeat protein [Source:Projected from Aedes aegypti (AAEL003127) VB Community Annotation]","A0A023EL91,A0A182G453","aal-miR-1889-3p",-15.86,521,542,155
"AALF021446-RA","WD-repeat protein [Source:Projected from Aedes aegypti (AAEL003539) VB Community Annotation]","A0A182H4C2","aal-miR-1889-3p",-21.72,546,567,154
"AALF011270-RA","cleavage and polyadenylation specificity factor cpsf [Source:Projected from Aedes aegypti (AAEL000832) VB Community Annotation]","A0A182GK16","aal-miR-1889-3p",-21.64,875,896,154
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-1889-3p",-18.83,5805,5828,154
"AALF022737-RA","synapse-associated protein [Source:Projected from Aedes aegypti (AAEL006993) VB Community Annotation]","A0A023EV36,A0A182H6G4","aal-miR-1889-3p",-18.77,10,33,154
"AALF001158-RA","Aconitate hydratase [Source:UniProtKB/TrEMBL;Acc:A0A182G243]","A0A182G243","aal-miR-1889-3p",-14.35,19,40,154
"AALF000915-RA","mitochondrial peptide chain release factor [Source:Projected from Aedes aegypti (AAEL012811) VB Community Annotation]","A0A023ET49,A0A182G1Q2","aal-miR-1889-3p",-23.08,122,144,153
"AALF007245-RA","Hedgehog protein [Source:UniProtKB/TrEMBL;Acc:A0A182GC01]","A0A182GC01","aal-miR-1889-3p",-20.21,342,362,153
"AALF016454-RA","arf GTPase-activating protein [Source:Projected from Aedes aegypti lvpagwg (AAEL001277) VB Community Annotation]","A0A023EWG1,A0A182GVG6","aal-miR-1889-3p",-17.76,705,726,152
"AALF006713-RA","dfg10 protein [Source:Projected from Aedes aegypti (AAEL012055) VB Community Annotation]","A0A023EQI9,A0A182GB21","aal-miR-1889-3p",-16.29,455,476,152
"AALF028513-RA","juvenile hormone resistance protein [Source:Projected from Aedes aegypti (AAEL001746) VB Community Annotation]","A0A182HFD7","aal-miR-1889-3p",-22.42,1609,1631,151
"AALF002317-RA","glucosyl/glucuronosyl transferases [Source:Projected from Aedes aegypti (AAEL003076) VB Community Annotation]","A0A023ETG1,A0A182G3U1,A0A1W7R8D2,A0A1W7R8H3,A0A1W7R8K9","aal-miR-1889-3p",-21.77,10182,10204,151
"AALF021374-RA","rhoGTPase [Source:Projected from Aedes aegypti (AAEL014636) VB Community Annotation]","A0A182H480","aal-miR-1889-3p",-17.21,5468,5489,151
"AALF020710-RA","amino acid transporter [Source:Projected from Aedes aegypti (AAEL007197) VB Community Annotation]","A0A023ETB6,A0A023EUT6,A0A023EWJ0,A0A182H342","aal-miR-1889-3p",-16.43,986,1008,151
"AALF022802-RA","Putative mitochondrial solute carrier protein [Source:UniProtKB/TrEMBL;Acc:A0A023EMT7]","A0A023EMT7","aal-miR-1889-3p",-14.21,147,171,151
"AALF018404-RA","Putative prohibitins and stomatins of the pid superfamily protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004490) UniProtKB/TrEMBL;Acc:A0A0P6ITV8]","A0A023ET54,A0A182GYZ6","aal-miR-1889-3p",-18.98,19,39,150
"AALF017164-RA","P21-activated kinase, pak [Source:Projected from Aedes aegypti (AAEL000489) VB Community Annotation]","A0A182GWN6","aal-miR-1889-3p",-14.85,354,374,150
"AALF009997-RA","histone deacetylase [Source:Projected from Aedes aegypti (AAEL004416) VB Community Annotation]","A0A182GHI8","aal-miR-1889-3p",-22.08,826,848,149
