"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF018047-RA","beta-hexosaminidase [Source:Projected from Aedes aegypti (AAEL011517) VB Community Annotation]","A0A023EUW0,A0A182GY98","aal-miR-286a-3p",-17.37,537,560,165
"AALF003859-RA","Clustered mitochondria protein homolog [Source:UniProtKB/TrEMBL;Acc:A0A182G693]","A0A182G693","aal-miR-286a-3p",-14.94,550,573,163
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-286a-3p",-21.08,31561,31583,162
"AALF017300-RA","Mitochondrial inner membrane protease ATP23 [Source:UniProtKB/TrEMBL;Acc:A0A182GWX4]","A0A023EM18,A0A182GWX4","aal-miR-286a-3p",-31.09,13,36,161
"AALF004698-RA","Dual specificity tyrosine-phosphorylation-regulated kinase [Source:Projected from Aedes aegypti (AAEL001504) VB Community Annotation]","A0A023EP62,A0A182G7L4","aal-miR-286a-3p",-25.39,946,970,160
"AALF012164-RA","peptide n-glycanase (pngase) [Source:Projected from Aedes aegypti (AAEL014507) VB Community Annotation]","A0A182GLV7","aal-miR-286a-3p",-21.31,208,229,159
"AALF000066-RA","peroxisomal n1-acetyl-spermine/spermidine oxidase [Source:Projected from Aedes aegypti lvpagwg (AAEL007523) VB Community Annotation]","A0A182G0L6","aal-miR-286a-3p",-15.19,470,493,159
"AALF013131-RA","Phosphatidylinositol-glycan biosynthesis class W protein [Source:UniProtKB/TrEMBL;Acc:A0A182GNU9]","A0A182GNU9","aal-miR-286a-3p",-17.13,21,45,157
"AALF014730-RA","adenosine kinase [Source:Projected from Aedes aegypti (AAEL001102) VB Community Annotation]","A0A182GS07","aal-miR-286a-3p",-14.3,117,140,154
"AALF006248-RA","cGMP 3',5'-cyclic phosphodiesterase subunit delta  [Source:Projected from Aedes aegypti (AAEL003437) VB Community Annotation]","A0A182GAA3","aal-miR-286a-3p",-15.63,22,45,153
"AALF015245-RA","predicted G-protein coupled receptor (GPCR) [Source:Projected from Aedes aegypti (AAEL002694) VB Community Annotation]","A0A023ESG6,A0A182GT18","aal-miR-286a-3p",-23.34,154,180,151
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-286a-3p",-17.76,35111,35134,150
"AALF019607-RA","SAGA-associated factor 11 homolog [Source:UniProtKB/TrEMBL;Acc:A0A182H149]","A0A182H149","aal-miR-286a-3p",-25.31,166,192,149
"AALF028181-RA","ubiquitin-conjugating enzyme E2-230k [Source:Projected from Aedes aegypti (AAEL006073) VB Community Annotation]","A0A182HEW6","aal-miR-286a-3p",-14.04,529,549,149
"AALF001127-RA","cop9 signalosome complex subunit [Source:Projected from Aedes aegypti (AAEL005730) VB Community Annotation]","A0A023ERT2,A0A023ETC6,A0A182G220","aal-miR-286a-3p",-17.83,31,53,148
"AALF002860-RA","supervillin [Source:Projected from Aedes aegypti (AAEL003105) VB Community Annotation]","A0A023ER95,A0A023ESF2,A0A182G4P6","aal-miR-286a-3p",-16.55,1124,1148,148
"AALF004462-RA","ssm4 protein [Source:Projected from Aedes aegypti (AAEL009353) VB Community Annotation]","A0A182G786","aal-miR-286a-3p",-15.68,4243,4265,148
"AALF010430-RA","rab gdp/GTP exchange factor [Source:Projected from Aedes aegypti (AAEL001142) VB Community Annotation]","A0A182GIE1","aal-miR-286a-3p",-17.47,1,24,147
"AALF003537-RA","Sodium/hydrogen exchanger [Source:UniProtKB/TrEMBL;Acc:A0A182G5P7]","A0A023EVP4,A0A182G5P7","aal-miR-286a-3p",-16.46,261,284,147
"AALF001475-RA","Non-lysosomal glucosylceramidase [Source:UniProtKB/TrEMBL;Acc:A0A182G2J8]","A0A182G2J8","aal-miR-286a-3p",-21.08,1124,1148,146
"AALF021809-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL000217) VB Community Annotation]","A0A182H4Y9","aal-miR-286a-3p",-19.11,407,433,146
"AALF020387-RA","heterogeneous nuclear ribonucleoprotein k [Source:Projected from Aedes aegypti (AAEL014959) VB Community Annotation]","A0A182H2H1","aal-miR-286a-3p",-17.84,169,195,146
"AALF028417-RA","Farnesol dehydrogenase [Source:Projected from Aedes aegypti (AAEL017302) UniProtKB/Swiss-Prot;Acc:D2WKD9]","A0A023EKY6,A0A182HF88","aal-miR-286a-3p",-16.69,1124,1145,146
"AALF011446-RA","caspase (short) [Source:Projected from Aedes aegypti lvpagwg (AAEL014348) VB Community Annotation]","A0A023EL21,A0A182GKE2","aal-miR-286a-3p",-16.58,100,125,146
"AALF001034-RA","Transcription elongation factor SPT5 [Source:UniProtKB/TrEMBL;Acc:A0A182G1W4]","A0A182G1W4","aal-miR-286a-3p",-23.61,4673,4697,145
"AALF004603-RA","brefeldin a-inhibited guanine nucleotide-exchange protein [Source:Projected from Aedes aegypti (AAEL013012) VB Community Annotation]","A0A182G7F5","aal-miR-286a-3p",-22.07,104,133,145
"AALF026728-RA","leucine-zipper-like transcriptional regulator 1 (LZTR-1) [Source:Projected from Aedes aegypti (AAEL000925) VB Community Annotation]","A0A023ET64,A0A182HCR8","aal-miR-286a-3p",-21.19,190,215,145
"AALF018341-RA","calcium/calmodulin-dependent protein kinase type 1 (camki) [Source:Projected from Aedes aegypti (AAEL013173) VB Community Annotation]","A0A182GYV1","aal-miR-286a-3p",-19.89,1064,1088,145
"AALF018617-RA","DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A182GZD4]","A0A182GZD4","aal-miR-286a-3p",-18.23,809,831,145
"AALF000672-RA","WSCD family member AAEL009094 [Source:Projected from Aedes aegypti (AAEL009094) UniProtKB/Swiss-Prot;Acc:Q16WU7]","A0A182G1G6","aal-miR-286a-3p",-17.7,376,399,145
"AALF026399-RA","Putative gtpase [Source:UniProtKB/TrEMBL;Acc:A0A023EJK9]","A0A023EHB0,A0A023EJK9","aal-miR-286a-3p",-17.54,601,624,145
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-286a-3p",-27.31,31899,31924,144
"AALF022819-RA","Putative cytoskeletal regulator flightless-i [Source:UniProtKB/TrEMBL;Acc:A0A023ECE2]","A0A023ECE2","aal-miR-286a-3p",-20.39,16,40,144
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-286a-3p",-19.74,17678,17703,143
"AALF002030-RA","neprilysin [Source:Projected from Aedes aegypti (AAEL009895) VB Community Annotation]","A0A023EVJ3,A0A023EVW7,A0A182G3C1","aal-miR-286a-3p",-18.86,480,504,143
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-286a-3p",-20.86,10568,10592,142
