"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-277-3p",-22.44,2663,2684,176
"AALF009367-RA","Sidoreflexin [Source:UniProtKB/TrEMBL;Acc:A0A182GG74]","A0A023EFI7,A0A023EPZ6,A0A023EQR6,A0A182GG74","aal-miR-277-3p",-22.57,277,298,172
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-277-3p",-21.25,11751,11772,168
"AALF010191-RA","alanyl-tRNA synthetase [Source:Projected from Aedes aegypti (AAEL001218) VB Community Annotation]","A0A182GHV3","aal-miR-277-3p",-20.74,23,43,167
"AALF004462-RA","ssm4 protein [Source:Projected from Aedes aegypti (AAEL009353) VB Community Annotation]","A0A182G786","aal-miR-277-3p",-14.01,2697,2718,166
"AALF007813-RA","Actin-related protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A023ESJ5]","A0A023ESJ5","aal-miR-277-3p",-21,129,150,165
"AALF012725-RA","Mucin-like peritrophin [Source:Projected from Aedes aegypti lvpagwg (AAEL004798) UniProtKB/TrEMBL;Acc:Q9GPU9]","A0A182GMZ1,A0A1W7R7I5","aal-miR-277-3p",-20.25,21,41,165
"AALF002156-RA","protein tyrosine phosphatase, non-receptor type nt1 [Source:Projected from Aedes aegypti (AAEL001919) VB Community Annotation]","A0A023ET57,A0A182G3J1","aal-miR-277-3p",-15.14,157,178,164
"AALF005612-RA","macroglobulin/complement [Source:Projected from Aedes aegypti (AAEL012267) VB Community Annotation]","A0A023EWE3,A0A182G988,A0A1W7R8N4","aal-miR-277-3p",-22.49,215,233,163
"AALF021758-RA","splicing factor yt521-b [Source:Projected from Aedes aegypti (AAEL002272) VB Community Annotation]","A0A023ETE8,A0A182H4W0","aal-miR-277-3p",-20.29,137,159,163
"AALF023672-RA","hydroxymethylglutaryl-coa lyase [Source:Projected from Aedes aegypti lvpagwg (AAEL002065) VB Community Annotation]","A0A182H7Y3","aal-miR-277-3p",-20.45,50,73,162
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-277-3p",-18.63,8761,8781,162
"AALF016408-RA","Putative gamma-interferon inducible lysosomal thiol reductase [Source:UniProtKB/TrEMBL;Acc:A0A023EKF6]","A0A023EKF6","aal-miR-277-3p",-17.92,393,413,162
"AALF001992-RA","inorganic pyrophosphatase [Source:Projected from Aedes aegypti (AAEL003193) VB Community Annotation]","A0A023ER17,A0A182G395","aal-miR-277-3p",-17.16,90,110,162
"AALF019857-RA","Alkylglycerone-phosphate synthase [Source:UniProtKB/TrEMBL;Acc:A0A182H1H7]","A0A182H1H7","aal-miR-277-3p",-14.76,54,77,162
"AALF017552-RA","Transporter [Source:UniProtKB/TrEMBL;Acc:A0A182GXE6]","A0A182GXE6","aal-miR-277-3p",-21.89,87,107,161
"AALF016961-RA","Clip-Domain Serine Protease  family B. [Source:Projected from Aedes aegypti (AAEL000074) VB Community Annotation]","A0A023EQN2,A0A023ER34,A0A023ER99,A0A023ETH3,A0A182GWB2,A0A1W7R7W4,A0A1W7R7Y9","aal-miR-277-3p",-15.72,395,416,160
"AALF007417-RA","Nucleoside diphosphate kinase [Source:UniProtKB/TrEMBL;Acc:A0A182GCB4]","A0A023EHV5,A0A182GCB4","aal-miR-277-3p",-17.15,61,85,159
"AALF004459-RA","myosin v [Source:Projected from Aedes aegypti (AAEL009357) VB Community Annotation]","A0A182G783","aal-miR-277-3p",-16.31,5231,5253,159
"AALF018633-RA","serrano protein [Source:Projected from Aedes aegypti (AAEL008684) VB Community Annotation]","A0A182GZE2","aal-miR-277-3p",-19.7,214,237,158
"AALF001475-RA","Non-lysosomal glucosylceramidase [Source:UniProtKB/TrEMBL;Acc:A0A182G2J8]","A0A182G2J8","aal-miR-277-3p",-16.89,2292,2317,158
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aal-miR-277-3p",-15.76,13096,13116,158
"AALF011418-RA","tetratricopeptide repeat protein, tpr [Source:Projected from Aedes aegypti (AAEL010512) VB Community Annotation]","A0A182GKC4","aal-miR-277-3p",-18.79,254,275,157
"AALF007045-RA","Galactose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182GBM7]","A0A182GBM7","aal-miR-277-3p",-16.84,357,378,157
"AALF008947-RA","heterogeneous nuclear ribonucleoprotein [Source:Projected from Aedes aegypti lvpagwg (AAEL010467) VB Community Annotation]","A0A023ET39,A0A182GFC6","aal-miR-277-3p",-14.58,3137,3157,157
"AALF013111-RA","MICOS complex subunit MIC13 [Source:UniProtKB/TrEMBL;Acc:A0A023EFH1]","A0A023EDK2,A0A023EFH1","aal-miR-277-3p",-21.53,2723,2744,156
"AALF022433-RA","AAA ATPase [Source:Projected from Aedes aegypti (AAEL005454) VB Community Annotation]","A0A023ERN3,A0A182H600","aal-miR-277-3p",-18.73,106,127,156
"AALF020334-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL011578) VB Community Annotation]","A0A182H2D3","aal-miR-277-3p",-18.71,7279,7299,156
"AALF007750-RA","peptidyl-prolyl cis-trans isomerase (cyclophilin) [Source:Projected from Aedes aegypti (AAEL006054) VB Community Annotation]","A0A182GCX7","aal-miR-277-3p",-17.4,221,244,156
"AALF025472-RA","oligosaccharyl transferase [Source:Projected from Aedes aegypti (AAEL004228) VB Community Annotation]","A0A182HAS4","aal-miR-277-3p",-15.6,415,438,156
"AALF003322-RA","WD repeat-containing protein 48 homolog [Source:Projected from Aedes aegypti (AAEL012158) VB Community Annotation]","A0A182G5D1","aal-miR-277-3p",-14.84,293,312,156
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-277-3p",-14.47,12488,12508,156
"AALF016832-RA","Putative methylmalonate semialdehyde dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A023ETJ6]","A0A023ETJ6","aal-miR-277-3p",-18.09,53,77,155
"AALF024292-RA","ccr4-not transcription complex [Source:Projected from Aedes aegypti (AAEL007326) VB Community Annotation]","A0A182H8V2","aal-miR-277-3p",-16.73,272,293,155
"AALF020472-RA","Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:A0A182H2M9]","A0A023EFZ5,A0A023EHA4,A0A023EPV1,A0A023ET60,A0A023EU67,A0A023EVX9,A0A182H2M9","aal-miR-277-3p",-14.04,304,327,155
"AALF020991-RA","AMP deaminase [Source:UniProtKB/TrEMBL;Acc:A0A182H3L0]","A0A023EUF9,A0A182H3L0","aal-miR-277-3p",-23.01,351,371,154
"AALF007477-RA","sugar transporter [Source:Projected from Aedes aegypti (AAEL003808) VB Community Annotation]","A0A023ET97,A0A023EU90,A0A182GCG2","aal-miR-277-3p",-20.32,309,331,154
"AALF014278-RA","GDT1 family protein [Source:UniProtKB/TrEMBL;Acc:A0A023ENC7]","A0A023ENC7","aal-miR-277-3p",-17.57,468,495,154
"AALF002897-RA","Glutathione synthetase [Source:UniProtKB/TrEMBL;Acc:A0A182G4R2]","A0A182G4R2","aal-miR-277-3p",-17.49,334,354,154
"AALF013590-RA","Glutathione synthetase [Source:UniProtKB/TrEMBL;Acc:A0A182GPT4]","A0A182GPT4","aal-miR-277-3p",-17.49,336,356,154
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-277-3p",-16.86,1481,1504,154
"AALF015567-RA","Cystathionine beta-synthase [Source:UniProtKB/TrEMBL;Acc:A0A182GTM6]","A0A182GTM6","aal-miR-277-3p",-16.1,51,71,154
"AALF025053-RA","Calcium-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182HA23]","A0A182HA23","aal-miR-277-3p",-16.01,108,128,154
"AALF026052-RA","Calcium-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182HBP1]","A0A182HBP1","aal-miR-277-3p",-16.01,385,405,154
"AALF011175-RA","pyruvate dehydrogenase [Source:Projected from Aedes aegypti (AAEL008366) VB Community Annotation]","A0A182GJU0","aal-miR-277-3p",-14.97,38,59,154
"AALF011190-RA","4-aminobutyrate aminotransferase [Source:Projected from Aedes aegypti (AAEL012609) VB Community Annotation]","A0A182GJV0","aal-miR-277-3p",-16.54,76,100,152
"AALF004800-RA","Mediator of RNA polymerase II transcription subunit 9 [Source:UniProtKB/TrEMBL;Acc:A0A182G7S9]","A0A182G7S9","aal-miR-277-3p",-16.36,170,192,152
"AALF009514-RA","Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182GGI1]","A0A023EUZ5,A0A182GGI1","aal-miR-277-3p",-15.52,60,81,152
"AALF027855-RA","udp-glucuronosyltransferase [Source:Projected from Aedes aegypti (AAEL008749) VB Community Annotation]","A0A182HEG5","aal-miR-277-3p",-15.01,2,22,152
"AALF021612-RA","Methyltransferase-like protein [Source:UniProtKB/TrEMBL;Acc:A0A182H4M8]","A0A182H4M8","aal-miR-277-3p",-14.63,1,19,152
"AALF024599-RA","Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:A0A182H9C7]","A0A182H9C7","aal-miR-277-3p",-14.36,709,729,152
"AALF021443-RA","monocarboxylate transporter [Source:Projected from Aedes aegypti (AAEL003524) VB Community Annotation]","A0A182H4B9","aal-miR-277-3p",-14.3,340,361,152
"AALF023410-RA","Putative translocase of outer membrane [Source:Projected from Aedes aegypti lvpagwg (AAEL019995) UniProtKB/TrEMBL;Acc:A0A0N8ERY3]","A0A182H7I4","aal-miR-277-3p",-20.58,29,49,150
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-277-3p",-19.13,16994,17016,150
"AALF006223-RA","perixosomal biogenesis factor [Source:Projected from Aedes aegypti (AAEL011781) VB Community Annotation]","A0A182GA89","aal-miR-277-3p",-18.07,9,35,150
"AALF005253-RA","Putative rna polymer [Source:UniProtKB/TrEMBL;Acc:A0A023EUH3]","A0A023EUH3","aal-miR-277-3p",-15.99,1300,1320,150
"AALF025660-RA","mannose-1-phosphate guanyltransferase [Source:Projected from Aedes aegypti (AAEL001331) VB Community Annotation]","A0A182HB27","aal-miR-277-3p",-14.48,213,232,150
