"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF015747-RA","adenosine deaminase [Source:Projected from Aedes aegypti (AAEL005676) VB Community Annotation]","A0A182GU02","aal-miR-8-3p",-23.94,8,30,173
"AALF022278-RA","oxidoreductase [Source:Projected from Aedes aegypti (AAEL005958) VB Community Annotation]","A0A182H5Q6","aal-miR-8-3p",-21.21,14,36,173
"AALF028470-RA","methylenetetrahydrofolate dehydrogenase [Source:Projected from Aedes aegypti lvpagwg (AAEL014871) VB Community Annotation]","A0A023ERE2,A0A182HFB8","aal-miR-8-3p",-16.75,70,92,169
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aal-miR-8-3p",-15.78,2262,2284,165
"AALF023799-RA","multiple inositol polyphosphate phosphatase [Source:Projected from Aedes aegypti (AAEL014842) VB Community Annotation]","A0A023ESJ6,A0A023ET15,A0A023EVE1,A0A182H850","aal-miR-8-3p",-18.05,1,23,163
"AALF020159-RA","importin beta-1 [Source:Projected from Aedes aegypti (AAEL013275) VB Community Annotation]","A0A182H213","aal-miR-8-3p",-17.55,241,263,163
"AALF025748-RA","Nuclear pore complex protein Nup85 [Source:UniProtKB/TrEMBL;Acc:A0A182HB70]","A0A182HB70","aal-miR-8-3p",-19.39,200,226,162
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-8-3p",-16.17,10077,10101,161
"AALF004459-RA","myosin v [Source:Projected from Aedes aegypti (AAEL009357) VB Community Annotation]","A0A182G783","aal-miR-8-3p",-14.04,5054,5073,161
"AALF010351-RA","amino acid transporter [Source:Projected from Aedes aegypti (AAEL003970) VB Community Annotation]","A0A182GI83","aal-miR-8-3p",-20,206,230,160
"AALF026807-RA","microtubule associated-protein orbit [Source:Projected from Aedes aegypti (AAEL005211) VB Community Annotation]","A0A182HCV9","aal-miR-8-3p",-15.18,299,321,158
"AALF016191-RA","ATP-dependent RNA helicase [Source:Projected from Aedes aegypti (AAEL011534) VB Community Annotation]","A0A182GUX7","aal-miR-8-3p",-21.8,673,696,156
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-8-3p",-16.19,31575,31599,156
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aal-miR-8-3p",-15.16,25480,25503,156
"AALF007937-RA","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","A0A182GDA5","aal-miR-8-3p",-14.31,72,94,156
"AALF010411-RA","xenotropic and polytropic murine leukemia virus receptor xpr1 [Source:Projected from Aedes aegypti lvpagwg (AAEL011204) VB Community Annotation]","A0A182GIC7","aal-miR-8-3p",-15.62,535,558,155
"AALF027101-RA","xenotropic and polytropic murine leukemia virus receptor xpr1 [Source:Projected from Aedes aegypti (AAEL011204) VB Community Annotation]","A0A182HDB8","aal-miR-8-3p",-15.62,537,560,155
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-8-3p",-17.26,672,693,154
"AALF024898-RA","integrin alpha-ps [Source:Projected from Aedes aegypti lvpagwg (AAEL013600) VB Community Annotation]","A0A182H9T5","aal-miR-8-3p",-20.38,524,546,153
"AALF017552-RA","Transporter [Source:UniProtKB/TrEMBL;Acc:A0A182GXE6]","A0A182GXE6","aal-miR-8-3p",-17.88,2025,2047,153
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-8-3p",-16.95,298,320,153
"AALF011399-RA","synaptic vesicle protein [Source:Projected from Aedes aegypti (AAEL001087) VB Community Annotation]","A0A023EU38,A0A182GKA8","aal-miR-8-3p",-15.7,56,79,153
