"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF012781-RA","Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:A0A023ES51]","A0A023ES51","aal-miR-184",-28.28,147,168,164
"AALF024828-RA","glutaminyl-tRNA synthetase [Source:Projected from Aedes aegypti (AAEL011395) VB Community Annotation]","A0A023EV58,A0A182H9P7","aal-miR-184",-26.72,216,236,163
"AALF001172-RA","chromosome region maintenance protein 5/exportin [Source:Projected from Aedes aegypti (AAEL009392) VB Community Annotation]","A0A182G252","aal-miR-184",-26.71,322,343,160
"AALF006625-RA","chromosome region maintenance protein 5/exportin [Source:Projected from Aedes aegypti lvpagwg (AAEL009392) VB Community Annotation]","A0A182GAX7","aal-miR-184",-26.71,321,342,160
"AALF006898-RA","leucine rich repeat protein [Source:Projected from Aedes aegypti (AAEL003554) VB Community Annotation]","A0A023EPT7,A0A182GBE1,A0A1W7R6P9","aal-miR-184",-21.34,98,119,160
"AALF007686-RA","synaptojanin [Source:Projected from Aedes aegypti (AAEL011417) VB Community Annotation]","A0A182GCS9","aal-miR-184",-26.06,1137,1159,159
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-184",-23.74,4197,4216,156
"AALF024740-RA","cell adhesion molecule [Source:Projected from Aedes aegypti (AAEL008827) VB Community Annotation]","A0A182H9K9","aal-miR-184",-21.04,249,270,156
"AALF004137-RA","mitochondrial intermediate peptidase [Source:Projected from Aedes aegypti (AAEL003461) VB Community Annotation]","A0A182G6P1","aal-miR-184",-23.81,105,130,154
"AALF004947-RA","PHD finger protein [Source:Projected from Aedes aegypti (AAEL001554) VB Community Annotation]","A0A182G819","aal-miR-184",-22.7,654,676,154
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-184",-26.55,12750,12771,152
"AALF012454-RA","Putative mrna cleavage factor i subunit/cpsf subunit [Source:Projected from Aedes aegypti lvpagwg (AAEL017164) UniProtKB/TrEMBL;Acc:A0A0N8ES32]","A0A182GMD7","aal-miR-184",-23.22,520,541,152
